"","author","book","n"
"1","Aeschines","Ctes",19084
"2","Aeschines","Leg",12898
"3","Aeschines","Tim",14029
"4","Alcidamas","Od",3799
"5","Alcidamas","Soph",2174
"6","Antisthenes","Aj",502
"7","Antisthenes","Od",924
"8","Aretaeus","SA1",9814
"9","Aretaeus","SA2",17700
"10","Aristides","Or13",28649
"11","Aristides","Or14",8377
"12","Aristides","Or23",5166
"13","Aristides","Or45",30350
"14","Aristotle","Met",15001
"15","Aristotle","NE",15001
"16","Aristotle","Pol",15001
"17","Aristotle","Rhet",15001
"18","Demosthenes","Leg",23014
"19","Demosthenes","Pac",1457
"20","Demosthenes","RhL",2210
"21","Epictetus","Diat",74569
"22","Epictetus","Ench",4988
"23","Galen","NF1",7499
"24","Galen","NF2",15001
"25","Galen","NF3",9302
"26","Herodotus","Hist1",7499
"27","Herodotus","Hist2",15001
"28","Herodotus","Hist3",14999
"29","Isocrates","Bus",2759
"30","Isocrates","Hel",3736
"31","Isocrates","Nic",3041
"32","Isocrates","Soph",1330
"33","Lucian","Cont",4114
"34","Lucian","DD",7513
"35","Lucian","DM",11092
"36","Lucian","VA",3390
"37","Plato","Chrm",8304
"38","Plato","Phd",22358
"39","Plato","Sph",16029
"40","Plato","Tht",22497
"41","Plotinus","Enn1",7499
"42","Plotinus","Enn2",15001
"43","Plotinus","Enn3",14999
"44","Plutarch","Adol",10204
"45","Plutarch","Alc",10107
"46","Plutarch","Def",14340
"47","Plutarch","Delph",5154
"48","Plutarch","QP",6179
"49","Plutarch","Rom",9305
"50","Plutarch","Sol",8590
"51","Thucydides","Hist1",7499
"52","Thucydides","Hist2",15001
"53","Thucydides","Hist3",14999
"54","Xenophon","Anab",15001
"55","Xenophon","Cyr",15001
"56","Xenophon","Hell",15001
"57","Xenophon","Mem",15001
