method,scale,mfw,size,.estimate
cosine,TRUE,500,6500,0.968
cosine,TRUE,300,7000,0.965
cosine,TRUE,400,7000,0.965
cosine,TRUE,500,7000,0.965
cosine,TRUE,600,5500,0.965
cosine,TRUE,300,4500,0.963
cosine,TRUE,400,6500,0.963
cosine,TRUE,300,5500,0.961
cosine,TRUE,300,6000,0.961
cosine,TRUE,400,3500,0.96
cosine,TRUE,400,4000,0.96
cosine,TRUE,400,5000,0.96
cosine,TRUE,400,5500,0.96
cosine,TRUE,500,5000,0.96
cosine,TRUE,600,5000,0.96
cosine,TRUE,600,6500,0.96
cosine,TRUE,200,6500,0.958
cosine,TRUE,400,4500,0.958
cosine,TRUE,500,6000,0.958
cosine,TRUE,700,4500,0.958
cosine,TRUE,300,3500,0.956
cosine,TRUE,600,6000,0.956
cosine,TRUE,1000,5500,0.956
cosine,TRUE,200,4000,0.954
cosine,TRUE,200,6000,0.954
cosine,TRUE,200,7000,0.954
cosine,TRUE,300,3000,0.954
cosine,TRUE,300,4000,0.954
cosine,TRUE,300,5000,0.954
cosine,TRUE,300,6500,0.954
cosine,TRUE,400,2500,0.954
cosine,TRUE,400,6000,0.954
cosine,TRUE,600,4000,0.954
cosine,TRUE,700,6000,0.954
cosine,TRUE,700,6500,0.954
cosine,TRUE,800,4500,0.954
cosine,TRUE,1000,6000,0.954
cosine,TRUE,400,3000,0.953
cosine,TRUE,500,4000,0.953
cosine,TRUE,500,4500,0.953
cosine,TRUE,700,3500,0.953
cosine,TRUE,700,5500,0.953
cosine,TRUE,800,6500,0.953
cosine,TRUE,900,7000,0.953
cosine,TRUE,1000,5000,0.953
cosine,TRUE,200,4500,0.951
cosine,TRUE,500,5500,0.951
cosine,TRUE,600,3000,0.951
cosine,TRUE,700,3000,0.951
cosine,TRUE,700,5000,0.951
cosine,TRUE,900,5500,0.951
cosine,TRUE,700,7000,0.949
cosine,TRUE,800,4000,0.949
cosine,TRUE,800,6000,0.949
cosine,TRUE,800,7000,0.949
cosine,TRUE,900,4500,0.949
cosine,TRUE,900,5000,0.949
cosine,TRUE,200,5000,0.947
cosine,TRUE,600,7000,0.947
cosine,TRUE,900,6500,0.947
cosine,TRUE,1000,6500,0.947
cosine,TRUE,200,5500,0.946
cosine,TRUE,500,3500,0.946
cosine,TRUE,800,5500,0.946
cosine,TRUE,1000,7000,0.946
cosine,TRUE,200,3000,0.944
cosine,TRUE,200,3500,0.944
cosine,TRUE,500,3000,0.944
cosine,TRUE,600,3500,0.944
cosine,TRUE,600,4500,0.944
tanimoto,FALSE,800,4000,0.944
cosine,TRUE,1000,4500,0.942
labbe,FALSE,NA,6000,0.942
labbe,FALSE,NA,7000,0.942
tanimoto,FALSE,800,4500,0.942
cosine,TRUE,300,2500,0.94
cosine,TRUE,800,2500,0.94
cosine,TRUE,900,3500,0.94
cosine,TRUE,900,6000,0.94
tanimoto,FALSE,1000,5500,0.94
tanimoto,FALSE,1000,6500,0.94
cosine,TRUE,700,4000,0.939
cosine,TRUE,800,3000,0.939
cosine,TRUE,800,3500,0.939
cosine,TRUE,900,2500,0.939
labbe,FALSE,NA,3000,0.939
labbe,FALSE,NA,6500,0.939
tanimoto,FALSE,400,5000,0.939
tanimoto,FALSE,600,4000,0.939
tanimoto,FALSE,700,4500,0.939
tanimoto,FALSE,700,7000,0.939
tanimoto,FALSE,800,3000,0.939
tanimoto,FALSE,1000,4000,0.939
tanimoto,FALSE,1000,7000,0.939
cosine,TRUE,600,2500,0.937
cosine,TRUE,900,4000,0.937
cosine,TRUE,1000,2500,0.937
labbe,FALSE,NA,5000,0.937
tanimoto,FALSE,300,4000,0.937
tanimoto,FALSE,700,6500,0.937
tanimoto,FALSE,900,3000,0.937
tanimoto,FALSE,900,6000,0.937
tanimoto,FALSE,1000,4500,0.937
